Price,Close,High,Low,Open,Volume
Ticker,SPY,SPY,SPY,SPY,SPY
Date,,,,,
2007-09-04,105.6849594116211,106.32297804089673,104.49397760188464,104.52942548510555,120062000
2007-09-05,104.77044677734375,105.17453314812485,104.21040920173475,105.0611042562732,166261800
2007-09-06,105.01148223876953,105.35175808536138,104.29547184878932,104.88387203556375,127878400
2007-09-07,103.55115509033203,104.13245940526701,102.97692520964347,103.84180183921065,235447600
2007-09-10,103.35261535644531,104.01191130792698,102.31760649281064,103.87013060543686,192305900
2007-09-11,104.55778503417969,104.70665099527079,103.59366105175782,103.67164206567337,162081900
2007-09-12,104.82718658447266,105.23127305301578,104.19625309451882,104.41601486491507,149554600
2007-09-13,105.56446075439453,105.94726982470354,105.06112670001184,105.30925110179625,154079000
2007-09-14,105.5573959350586,105.69209146063457,104.73506309296,104.89102519445008,121911000
2007-09-17,104.99021911621094,105.3801133533163,104.65702850775129,105.13908507146131,109870800
2007-09-18,108.0810775756836,108.10942938776988,105.01147739730115,105.50771523761357,263759500
2007-09-19,108.71910095214844,109.44928183908961,108.25831096930466,108.75454883171506,193779900
2007-09-20,107.95349884033203,108.76874618578574,107.83298467378877,108.70494647711756,175186800
2007-09-21,108.24479675292969,109.06391141103434,108.08097599500685,108.77188593869118,141457500
2007-09-24,108.04535675048828,108.85023366213862,107.81030391252429,108.56531619105034,139450200
2007-09-25,107.83169555664062,108.02401353421101,107.17640152885585,107.41857328224513,142289900
2007-09-26,108.40156555175781,108.8146880006744,107.8317411095109,108.44430048293931,135547000
2007-09-27,109.04257202148438,109.04970175311408,108.4015265474242,108.91436727406968,102713300
2007-09-28,108.67932891845703,109.11381873479785,108.25195796620564,108.87164693381963,133372100
2007-10-01,109.9044418334961,110.2249645972367,108.62233991003941,108.69357202131255,148162300
2007-10-02,109.75484466552734,110.15371835309469,109.55540782174369,110.12523203333681,112978800
2007-10-03,109.53401947021484,109.98275771737372,108.9855628201863,109.55538692308042,119055900
2007-10-04,109.70499420166016,109.87593386235508,109.39870919542646,109.76909657442076,76864400
2007-10-05,111.00850677490234,111.1865762366083,110.1395269322974,110.42443372362798,134579700
2007-10-08,110.4172592163086,110.75203050509754,110.23918984433541,110.68079840891149,71280400
2007-10-09,111.45722961425781,111.4714782137582,110.4244289546668,110.83043252670086,94054300
2007-10-10,111.27202606201172,111.42872802957328,110.69508284894212,111.14381042105434,101711100
2007-10-11,110.73780059814453,112.19797186841345,110.07537677101057,111.77771981958921,233529100
2007-10-12,111.35031127929688,111.36455986843109,110.59529908251929,110.73063350807169,124546700
2007-10-15,110.41020202636719,111.371781614188,109.64807026520845,111.30767920659969,161151900
2007-10-16,109.53401947021484,110.06110866737778,109.31321521160993,109.98275771737372,166525700
2007-10-17,109.86876678466797,110.46707707152488,108.6009141379285,110.38872613859206,216687300
2007-10-18,109.4699478149414,109.82608662057606,109.03545803732736,109.29899727557898,148367500
2007-10-19,106.60655975341797,111.45716722674317,106.59944089190098,109.04254721660146,297169900
2007-10-22,107.22626495361328,107.3829668948469,105.88719045829012,106.02964380436786,261989800
2007-10-23,108.09523010253906,108.23056456726802,107.01969498407509,107.88155554611669,180085100
2007-10-24,107.89576721191406,108.08096627407379,106.01535549010862,107.7034601575799,326694200
2007-10-25,108.15222930908203,108.47275205874263,106.75617128480668,108.01689482470464,237374500
2007-10-26,109.42000579833984,109.42000579833986,108.19488830371346,109.02113235701705,176484000
2007-10-29,109.78334045410156,110.00414475201171,109.37021817767594,109.64087625164997,106841000
2007-10-30,109.02120971679688,109.51268300877086,108.88587523135547,109.29899755115254,132981600
2007-10-31,110.15372467041016,110.59534416568044,108.86450397469578,109.67649999052377,220954400
2007-11-01,107.5752944946289,109.2705188092457,107.26189058417928,109.18503809917196,333040800
2007-11-02,107.69638061523438,108.26620492009167,106.27895501981448,107.93143354855656,331228200
2007-11-05,106.8772201538086,107.66784845897753,106.10795929998287,106.58518382746465,226841000
2007-11-06,108.31610107421875,108.3445874069235,106.77044852966564,107.45424006805538,177800500
2007-11-07,105.35296630859375,107.64650069923125,105.09654597707863,107.15502749145294,306639700
2007-11-08,104.81881713867188,105.70203476843712,103.33015895363367,105.41000909293305,374509900
2007-11-09,103.3799819946289,105.08944407847311,103.20191257470785,103.77173689215421,277745100
2007-11-12,102.35428619384766,104.42701656254745,102.35428619384766,103.42983229676062,243087800
2007-11-13,105.47406005859375,105.6378808505961,103.4369458472636,103.54378313150583,191117400
2007-11-14,105.1820297241211,106.41426690359499,104.54810310790111,106.28606215510919,230558800
2007-11-15,103.66490173339844,105.05385207795011,102.93838623422866,104.39855783459309,263111100
2007-11-16,103.8429183959961,104.32727268442537,102.97394995837045,104.21330569085487,308770600
2007-11-19,102.39704895019531,103.53669773680201,101.9910562703455,103.47971421062205,267746000
2007-11-20,103.02384185791016,103.65776855010937,101.22178022047322,102.58223317998332,414767500
2007-11-21,100.91548919677734,102.50387613377046,100.90837033314968,101.91268439785063,259012400
2007-11-23,102.66056060791016,102.81013279809164,101.64199812082698,101.90554818911001,77688400
2007-11-26,100.39554595947266,103.1948031482552,100.18899019561141,102.87426946828698,214232000
2007-11-27,101.54938507080078,102.01947985278831,100.39548839522145,100.95819357735036,293897900
2007-11-28,104.79742431640625,105.03959613252444,102.667710023084,102.70332608274737,258596900
2007-11-29,104.8330078125,105.21764378767169,104.06375759914306,104.43413411120582,199409900
2007-11-30,105.88716888427734,106.74901851697076,104.93983856655868,106.15782692613168,222908000
2007-12-03,105.18913269042969,105.73758939143936,104.91134490886485,105.55240115989339,146430400
2007-12-04,104.24896240234375,105.08944485369365,104.21334634439783,104.4626478815243,136533900
2007-12-05,105.99400329589844,106.27179106063191,105.29597445322044,105.3671956755804,171130000
2007-12-06,107.51119232177734,107.70351033419767,105.82309773635073,105.86583265722311,154457400
2007-12-07,107.48982238769531,107.91006359126223,107.23340199986738,107.85308007524554,148980100
2007-12-10,108.32320404052734,108.44428995662061,107.4542242958616,107.75337965359135,123914300
2007-12-11,105.35296630859375,108.90010517080965,105.29598280509128,108.36589705252747,250346400
2007-12-12,106.39289855957031,108.10237127126665,104.84725751645504,107.59664940774366,322435600
2007-12-13,106.17206573486328,106.40711857716317,104.9184614444209,105.64498742348509,237551300
2007-12-14,104.82588195800781,106.20058323166711,104.77602818291768,105.3672089638753,159152900
2007-12-17,103.3301010131836,104.61219180438539,103.18051795768098,104.42700356906539,177269400
2007-12-18,103.90706634521484,104.3344264111787,102.53949457084074,104.06376829661656,245569300
2007-12-19,103.90706634521484,104.62646285410864,103.23752361986105,103.9498012649618,198917200
2007-12-20,104.56233215332031,104.60506706149232,103.408435290219,104.59081846927118,214813800
2007-12-21,106.06962585449219,106.27727777069077,105.32491976113448,105.5254150340755,146084400
2007-12-24,106.8573226928711,107.03633717680897,106.32027924105745,106.56374724310749,45601400
2007-12-26,107.0864486694336,107.17952875580262,106.33458577668664,106.44199007871826,67093100
2007-12-27,105.74024963378906,106.7140886384876,105.48963596987754,106.70693199420708,122981700
2007-12-28,105.47528839111328,106.4133221142747,105.18885879072334,106.36319283689195,116398100
2007-12-31,104.6948013305664,105.69727774207003,104.58738611965097,105.33209224777373,108126800
2008-01-02,103.7782974243164,105.25338632008769,103.0264451440615,104.92399477947203,204935600
2008-01-03,103.72811889648438,104.17923874402268,103.16243812079651,103.76392396673198,125133300
2008-01-04,101.18616485595703,102.71137205247469,100.89974599635538,102.6397618744847,232330900
2008-01-07,101.10022735595703,101.84492284330452,100.3197267845824,101.54417980459625,234991000
2008-01-08,99.46759796142578,102.32466177281407,99.13104989987656,101.73750002099297,326365700
2008-01-09,100.51297760009766,100.81372040850226,98.60110557984537,99.59642496700673,301824900
2008-01-10,101.17183685302734,102.25309149888828,99.79700671121212,100.01898295803215,335701200
2008-01-11,100.35547637939453,101.60857728065932,99.53201444331819,100.80659620022513,267076600
2008-01-14,101.1646499633789,101.57996481844503,100.53451557277162,101.07872651963262,170365500
2008-01-15,98.93771362304688,101.31503097285487,98.74437494070082,100.09772386477137,239940100
2008-01-16,98.0855941772461,99.61795742895856,97.58435590354107,98.35769963704665,378802600
2008-01-17,95.54359436035156,98.73006055645126,95.1855654328056,98.67993126203046,397892600
2008-01-18,94.5626220703125,96.68215865507442,93.87521247743405,96.48166327997001,348561500
2008-01-22,93.60307312011719,94.82752579537545,90.22327955170537,91.08970880294096,435923700
2008-01-23,95.8514633178711,96.08776361863265,90.82473629751388,91.00375068359043,511913000
2008-01-24,96.66064453125,96.99719256499267,95.45766176834164,96.29544806739,259949300
2008-01-25,95.26433563232422,97.92807182238504,94.94927934283227,97.74905735222598,269603900
2008-01-28,96.83967590332031,97.04017124448477,94.56260606270025,95.4218733714303,217934600
2008-01-29,97.3194580078125,97.70612457037808,96.58191904637529,97.45551079362353,168968300
2008-01-30,96.60338592529297,99.20266899575095,96.3814096968753,97.0831434668165,334939200
2008-01-31,98.3648681640625,99.20265457835423,95.3789080948147,95.52211748657652,343680800
2008-02-01,99.94738006591797,99.96886093249316,98.47230228813687,98.77304534636792,206843600
2008-02-04,98.68707275390625,99.7468350400562,98.55817669244087,99.68239247240996,124694300
2008-02-05,96.04483032226562,97.56286926882498,95.71543894694229,97.3408931126214,286882500
2008-02-06,95.27149200439453,96.84681697137414,94.81321545170637,96.36705955888614,250792900
2008-02-07,95.9016342163086,96.51744447890896,94.3263089408263,94.37643824095954,297368100
2008-02-08,95.2857894897461,96.10925135420607,94.59121274792989,95.30010277481419,221643500
2008-02-11,95.77275848388672,96.11646326808781,94.54829448378933,95.30732514957646,188576300
2008-02-12,96.66064453125,97.60583512780146,95.9374191741467,96.6033585971901,256654400
2008-02-13,97.6488037109375,98.14288536653224,96.76805563097649,97.39102245263483,181967800
2008-02-14,96.78954315185547,98.09993039454419,96.51743765876428,98.06412531500436,215207200
2008-02-15,96.76805877685547,96.82534471680457,95.8873106682618,96.30978218343856,154110300
2008-02-19,97.04019927978516,98.02119540576612,96.38858376965804,97.89946683676102,145190000
2008-02-20,97.3265380859375,97.77765782583893,95.77985120013614,95.94455229874285,220085700
2008-02-21,96.51744079589844,98.10709022878464,96.00188915323753,97.85647651621257,201051200
2008-02-22,97.11178588867188,97.27648710132888,95.13546967239297,96.64635254272763,205491000
2008-02-25,98.33625793457031,98.56539083971525,96.51030763610542,97.05450784623152,190107000
2008-02-26,99.07376861572266,99.49624014222196,97.74190052319472,97.92091499301742,212420700
2008-02-27,98.9735336303711,99.63230565258078,98.3935284220222,98.50093274720625,168395800
2008-02-28,98.00680541992188,98.78731654925872,97.77767265736398,98.27175417578789,170831100
