Price,Close,High,Low,Open,Volume
Ticker,^GSPC,^GSPC,^GSPC,^GSPC,^GSPC
Date,,,,,
1987-09-18,314.8599853515625,316.989990234375,314.8599853515625,314.9800109863281,188100000
1987-09-21,310.5400085449219,317.6600036621094,310.1199951171875,314.9200134277344,170100000
1987-09-22,319.5,319.510009765625,308.69000244140625,310.5400085449219,209500000
1987-09-23,321.19000244140625,321.8299865722656,319.1199951171875,319.489990234375,220300000
1987-09-24,319.7200012207031,322.010009765625,319.1199951171875,321.0899963378906,162200000
1987-09-25,320.1600036621094,320.54998779296875,318.1000061035156,319.7200012207031,138000000
1987-09-28,323.20001220703125,325.3299865722656,320.1600036621094,320.1600036621094,188100000
1987-09-29,321.69000244140625,324.6300048828125,320.2699890136719,323.20001220703125,173500000
1987-09-30,321.8299865722656,322.5299987792969,320.1600036621094,321.69000244140625,183100000
1987-10-01,327.3299865722656,327.3399963378906,321.8299865722656,321.8299865722656,193200000
1987-10-02,328.07000732421875,328.94000244140625,327.2200012207031,327.3299865722656,189100000
1987-10-05,328.0799865722656,328.57000732421875,326.0899963378906,328.07000732421875,159700000
1987-10-06,319.2200012207031,328.0799865722656,319.1700134277344,328.0799865722656,175600000
1987-10-07,318.5400085449219,319.3900146484375,315.7799987792969,319.2200012207031,186300000
1987-10-08,314.1600036621094,319.3399963378906,312.0199890136719,318.5400085449219,198700000
1987-10-09,311.07000732421875,315.0400085449219,310.9700012207031,314.1600036621094,158300000
1987-10-12,309.3900146484375,311.07000732421875,306.760009765625,311.07000732421875,141900000
1987-10-13,314.5199890136719,314.5299987792969,309.3900146484375,309.3900146484375,172900000
1987-10-14,305.2300109863281,314.5199890136719,304.7799987792969,314.5199890136719,207400000
1987-10-15,298.0799865722656,305.2300109863281,298.07000732421875,305.2099914550781,263200000
1987-10-16,282.70001220703125,298.9200134277344,281.5199890136719,298.0799865722656,338500000
1987-10-19,224.83999633789062,282.70001220703125,224.8300018310547,282.70001220703125,604300000
1987-10-20,236.8300018310547,245.6199951171875,216.4600067138672,225.05999755859375,608100000
1987-10-21,258.3800048828125,259.2699890136719,236.8300018310547,236.8300018310547,449600000
1987-10-22,248.25,258.3800048828125,242.99000549316406,258.239990234375,392200000
1987-10-23,248.22000122070312,250.6999969482422,242.75999450683594,248.2899932861328,245600000
1987-10-26,227.6699981689453,248.22000122070312,227.25999450683594,248.1999969482422,308800000
1987-10-27,233.19000244140625,237.80999755859375,227.6699981689453,227.6699981689453,260200000
1987-10-28,233.27999877929688,238.5800018310547,226.25999450683594,233.19000244140625,279400000
1987-10-29,244.77000427246094,246.69000244140625,233.27999877929688,233.30999755859375,258100000
1987-10-30,251.7899932861328,254.0399932861328,244.77000427246094,244.77000427246094,303400000
1987-11-02,255.75,255.75,249.14999389648438,251.72999572753906,176000000
1987-11-03,250.82000732421875,255.75,242.77999877929688,255.75,227800000
1987-11-04,248.9600067138672,251.0,246.33999633789062,250.80999755859375,202500000
1987-11-05,254.47999572753906,256.0899963378906,247.72000122070312,248.92999267578125,226000000
1987-11-06,250.41000366210938,257.2099914550781,249.67999267578125,254.49000549316406,228290000
1987-11-09,243.1699981689453,250.41000366210938,243.00999450683594,250.41000366210938,160690000
1987-11-10,239.0,243.1699981689453,237.63999938964844,243.13999938964844,184310000
1987-11-11,241.89999389648438,243.86000061035156,239.0,239.00999450683594,147850000
1987-11-12,248.52000427246094,249.89999389648438,241.89999389648438,241.92999267578125,206280000
1987-11-13,245.63999938964844,249.4199981689453,245.63999938964844,248.5399932861328,174920000
1987-11-16,246.75999450683594,249.5399932861328,244.97999572753906,245.69000244140625,164340000
1987-11-17,243.0399932861328,246.75999450683594,240.80999755859375,246.72999572753906,148240000
1987-11-18,245.5500030517578,245.5500030517578,240.6699981689453,243.08999633789062,158270000
1987-11-19,240.0500030517578,245.5500030517578,239.6999969482422,245.5399932861328,157140000
1987-11-20,242.0,242.00999450683594,235.88999938964844,240.0399932861328,189170000
1987-11-23,242.99000549316406,242.99000549316406,240.5,242.0,143160000
1987-11-24,246.38999938964844,247.89999389648438,242.97999572753906,242.97999572753906,199520000
1987-11-25,244.10000610351562,246.5399932861328,244.0800018310547,246.4199981689453,139780000
1987-11-27,240.33999633789062,244.1199951171875,240.33999633789062,244.11000061035156,86360000
1987-11-30,230.3000030517578,240.33999633789062,225.75,240.27000427246094,268910000
1987-12-01,232.0,234.02000427246094,230.3000030517578,230.32000732421875,149870000
1987-12-02,233.4499969482422,234.55999755859375,230.30999755859375,232.00999450683594,148890000
1987-12-03,225.2100067138672,233.89999389648438,225.2100067138672,233.4600067138672,204160000
1987-12-04,223.9199981689453,225.77000427246094,221.24000549316406,225.1999969482422,184800000
1987-12-07,228.75999450683594,228.77000427246094,223.9199981689453,223.97999572753906,146660000
1987-12-08,234.91000366210938,234.9199981689453,228.69000244140625,228.77000427246094,227310000
1987-12-09,238.88999938964844,240.08999633789062,233.8300018310547,234.91000366210938,231430000
1987-12-10,233.57000732421875,240.0500030517578,233.39999389648438,238.88999938964844,188960000
1987-12-11,235.32000732421875,235.47999572753906,233.35000610351562,233.60000610351562,151680000
1987-12-14,242.19000244140625,242.33999633789062,235.0399932861328,235.3000030517578,187680000
1987-12-15,242.80999755859375,245.58999633789062,241.30999755859375,242.19000244140625,214970000
1987-12-16,248.0800018310547,248.11000061035156,242.8000030517578,242.80999755859375,193820000
1987-12-17,242.97999572753906,248.60000610351562,242.9600067138672,248.0800018310547,191780000
1987-12-18,249.16000366210938,249.17999267578125,243.00999450683594,243.00999450683594,276220000
1987-12-21,249.5399932861328,250.25,248.3000030517578,249.13999938964844,161790000
1987-12-22,249.9499969482422,249.97000122070312,247.00999450683594,249.55999755859375,192650000
1987-12-23,253.16000366210938,253.35000610351562,249.9499969482422,249.9600067138672,203110000
1987-12-24,252.02999877929688,253.16000366210938,251.67999267578125,253.1300048828125,108800000
1987-12-28,245.57000732421875,252.02000427246094,244.19000244140625,252.00999450683594,131220000
1987-12-29,244.58999633789062,245.8800048828125,244.27999877929688,245.5800018310547,111580000
1987-12-30,247.86000061035156,248.05999755859375,244.58999633789062,244.6300048828125,149230000
